Designator,Mid X,Mid Y,Rotation,Layer
C1,82.275,-71.5375,270.0,top
C10,129.225,-108.6625,270.0,top
C11,142.425,-103.7625,90.0,top
C12,142.45,-108.6625,270.0,top
C2,91.425,-71.45,270.0,top
C3,131.75,-70.6875,270.0,top
C4,72.8,-102.3875,90.0,top
C5,105.425,-103.8125,90.0,top
C6,105.425,-108.7625,270.0,top
C7,117.4,-103.7375,90.0,top
C8,117.4,-108.6375,270.0,top
C9,129.225,-103.7375,90.0,top
D1,90.725,-75.0,180.0,top
D2,90.725,-77.1,180.0,top
D3,90.725,-79.2,180.0,top
D4,90.725,-81.3,180.0,top
Q1,142.3,-96.2,0.0,top
Q2,148.5,-96.2,0.0,top
Q3,154.7,-96.2,0.0,top
R1,79.725,-107.725,0.0,top
R10,85.275,-89.5,90.0,top
R11,87.275,-89.5,90.0,top
R12,89.3,-89.5,90.0,top
R13,134.625,-83.3,0.0,top
R14,134.625,-81.3,0.0,top
R15,130.625,-81.3,180.0,top
R16,130.625,-83.3,180.0,top
R17,130.625,-85.3,0.0,top
R18,130.625,-87.325,0.0,top
R19,154.7,-93.0,180.0,top
R2,79.725,-103.75,0.0,top
R20,142.3,-92.975,180.0,top
R21,148.5,-90.9,0.0,top
R24,86.9,-75.0,0.0,top
R25,86.9,-77.1,0.0,top
R26,86.9,-79.2,0.0,top
R27,86.9,-81.3,0.0,top
R3,79.725,-99.8,0.0,top
R4,79.725,-95.85,0.0,top
R5,79.725,-105.725,0.0,top
R6,79.725,-101.775,0.0,top
R7,79.725,-97.825,0.0,top
R8,79.725,-93.875,0.0,top
R9,83.275,-89.5,90.0,top
U1,121.84,-79.275,270.0,top
U3,87.1,-71.3,0.0,top
U4,99.425,-106.3,180.0,top
U5,111.525,-106.2,180.0,top
U6,123.325,-106.2,180.0,top
U7,135.925,-106.2,180.0,top
U8,135.52,-74.425,270.0,top
U9,107.835,-79.3,270.0,top
